qid,role,intent,grade,systems,question
AD-077,Architects and building designers,sensor_data,honest-capability-answer,risk_insurance|sensor_telemetry|survey_condition,"Which spatial, interface or operational hypotheses should a competent investigation test after an incident or near miss?"
AD-078,Architects and building designers,capability,honest-capability-answer,sensor_telemetry|survey_condition|user_reports,"How do users describe the building's strengths, frustrations and unmet needs, and where does verified evidence support, qualify or conflict with those accounts?"
AD-079,Architects and building designers,capability,answered-with-data,bms_plant|cmms_work|hr_identity|it_network|meter_energy|policy_governance|sensor_telemetry|survey_condition|user_reports,"Which changes, overrides and workarounds have occupants or operators introduced, and which original design assumptions do they challenge?"
AD-080,Architects and building designers,capability,honest-capability-answer,hr_identity|policy_governance|survey_condition|user_reports,"Which lessons are sufficiently supported and transferable to change future briefs, standards, details and evidence plans, and which remain specific to this context?"
AI-001,"Accessibility, inclusion, and well-being teams",recommend,deflected,project_handover|sensor_telemetry,"Which step-free route can we publish for the stated journey window, and which critical link still needs an on-site check?"
AI-002,"Accessibility, inclusion, and well-being teams",sensor_data,answered-with-data,sensor_telemetry|timetable|weather_external,"Which lawful arrival point best meets the person's stated set-down, distance, gradient, shelter, lighting and noise requirements, with trade-offs shown?"
AI-003,"Accessibility, inclusion, and well-being teams",capability,document-quoted,sensor_telemetry|timetable|weather_external,"Can today's verified route reasonably be relied on at the expected arrival time, or must we schedule a same-day recheck?"
AI-004,"Accessibility, inclusion, and well-being teams",sensor_data,honest-capability-answer,sensor_telemetry,"Which fully verified fallback should we prepare if the planned entrance, lift or corridor fails during the journey window?"
AI-005,"Accessibility, inclusion, and well-being teams",asset_state,deflected,accessibility,"What realistic journey-time range should we communicate, including lift waits, slower links and usable rest points?"
AI-006,"Accessibility, inclusion, and well-being teams",capability,document-quoted,sensor_telemetry|survey_condition|weather_external,"Which route options avoid only the conditions the person has chosen to state, without turning preferences into a disability profile?"
AI-007,"Accessibility, inclusion, and well-being teams",capability,deflected,booking|sensor_telemetry|weather_external,"Which set-down and collection location is lawful, safely connected to the onward route and least likely to create a new barrier?"
